Date Decided,Citation,Appellants,Respondents,Case Note
" 03.11.2015

                                ",MANU/UP/1846/2015," ""A""
                                      "," State of U.P. and Ors.

","Criminal - Rape victim - Compensation - Sections 357 and 357A of Code of
Criminal Procedure, 1973, Rule 7 of Protection of Children from Sexual
Offences Rules, 2012, Protection of Children from Sexual Offences Act, 2012
and Article 226 of Constitution of India - Present petition filed wherein
Petitioner/minor rape victim had prayed for termination of her pregnancy -
However, Petitioner had given birth to child - Whether prayer for grant
compensation to Petitioner was acceptable in light of Section 357A of Code
read with Victim Compensation Scheme, framed thereunder - Held, right of
Victim to be compensated for sufferings of Offence is also recognized under
Code - Section 357A(3) provides that if Trial Court is satisfied that
compensation awarded under Section 357 is not adequate for such
rehabilitation - Or where cases end in acquittal or discharge and victim has to
be rehabilitated - It may make recommendation for compensation - Rule 7 of
Rules framed under Act also provides for grant of compensation to victims on
recommendation of Special Courts - Power to grant compensation to victim for
violation of fundamental rights under Article 226 of Constitution is well
recognized and independent of provisions of Sections 357 and 357A of Code -
Statutory right of compensation available to Petitioner and she may avail of
same - Petition disposed off. [32],[34],[42],[44] and[46]

Criminal - Minor mother - Capacity to give - Adoption - Whether minor mother
has capacity to give her child in adoption - Held, child may be given in
adoption by father or mother, with consent of other, where taking of such
consent is possible - Petitioner was natural guardian of her child - Newly born
child is child in need of care and protection and falls within expression
Surrendered or orphan child - Necessary directions for her rehabilitation
including adoption were required to be issued to competent authority - Valid
legal system is available to allow girl child to be given in adoption - Direction
to Child Welfare Committee to take over cause of adoption of child born -
Petition disposed off. [63],[66],[68],[71] and[84]

Criminal - Property of Accused - Inheritance therein - Whether child has any
newly born child would be governed by her Personal Law - For that purpose of
she would be treated as illegitimate child of her biological father - If newly
born child is given in adoption, she will not have any rights of inheritance in




     08-08-2022 (Page 1 of 33) www.manupatra.com       OP Jindal Global Universityproperty of her biological father - Even if child is not taken in adoption by any
one, no directions of Court would be required - She would inherit property of
her biological father by operation of personal law by which she is governed -
Any direction to inherit property of her father would be fraught with grave
consequences in event father starts claiming some special reproach privileges
over minor like rights of visitation or custody - Petition disposed off. [73]

                                         "
" 01.11.2021

                    ",MANU/BH/1168/2021," Amit Kumar Agarwal and Ors.
                                       "," The Union of India and Ors.

","Right to Persons with Disabilities Act, 2016 - Section 25--Constitution of
India--Articles 21, 47 and 226--Relief to patients suffering from Thalassemia-
